total_2_1edge,total_2_indep,total_3_tris,total_2_star,total_3_1edge,total_3_indep,total_4_clique,total_4_chordcycle,total_4_tailed_tris,total_4_cycle,total_3_star,total_4_path,total_4_1edge,total_4_2edge,total_4_2star,total_4_tri,total_4_indep,filename
155,9998,0,1019,19817,456355,0,0,0,14,11521,2690,1265443,8198,102661,0,15311158,./motifs/70.motifcount
149,10004,2,5270,10463,461456,0,1,7,4,171898,1379,502597,4354,219316,271,15801858,./motifs/71.motifcount
142,10011,0,10011,0,467180,0,0,0,0,467180,0,0,0,0,0,16234505,./motifs/72.motifcount
159,9994,0,1152,20115,455924,0,0,0,45,9379,4427,1265730,6892,124109,0,15291103,./motifs/73.motifcount
141,9870,0,9459,822,456899,0,0,0,0,428540,411,28359,0,28359,0,15748836,./motifs/74.motifcount
155,9575,0,909,19572,427099,0,0,0,13,8553,2949,1228707,8051,92924,0,13988418,./motifs/75.motifcount
138,9453,0,4413,10080,423496,0,0,0,0,115731,611,424218,4429,251753,0,14094884,./motifs/76.motifcount
142,9449,0,7055,5344,425590,0,0,0,1,273828,1560,224172,1394,134872,0,14255799,./motifs/77.motifcount
165,9426,12,984,20601,416392,0,6,54,90,7238,3424,1272606,8840,104782,1566,13493020,./motifs/78.motifcount
152,9439,4,923,18966,418096,0,2,10,16,7710,3099,1174885,7396,96112,530,13601866,./motifs/79.motifcount
142,9449,0,891,17672,419426,0,0,0,4,7959,3364,1096281,5748,90555,0,13687715,./motifs/80.motifcount
137,9316,0,7088,4456,416992,0,0,0,0,273988,2124,167780,104,130668,0,13888426,./motifs/81.motifcount
155,9298,0,2053,16974,409509,0,0,0,31,36305,3333,967988,6487,161450,0,13287496,./motifs/82.motifcount
255,8925,0,10727,12716,386597,0,0,0,4926,349223,1723,467853,10083,355872,0,12444150,./motifs/83.motifcount
134,8911,0,8779,264,391952,0,0,0,0,383306,132,8646,0,8646,0,12832105,./motifs/84.motifcount
168,8743,0,1738,18700,371646,0,0,0,506,14870,5808,1038674,5470,169428,0,11605995,./motifs/85.motifcount
147,8764,2,737,17924,373421,0,1,1,22,5159,2682,1080819,7259,75614,259,11668935,./motifs/86.motifcount
132,8646,0,8646,0,374660,0,0,0,0,374660,0,0,0,0,0,12082785,./motifs/87.motifcount
140,8506,0,691,16818,357151,0,0,0,45,3205,2610,995349,6339,74124,0,11001113,./motifs/88.motifcount
126,7875,0,7875,0,325500,0,0,0,0,325500,0,0,0,0,0,10009125,./motifs/89.motifcount
128,7873,0,882,14236,318257,0,0,0,2,7991,3152,792217,4090,79083,0,9448090,./motifs/90.motifcount
125,7750,0,7506,488,317506,0,0,0,0,302622,244,14884,0,14884,0,9676491,./motifs/91.motifcount
136,7739,2,1908,13042,310548,0,1,23,29,24732,2045,633185,5138,156234,221,9187517,./motifs/92.motifcount
129,7746,1,711,14571,310217,0,0,3,2,5147,2784,817219,4751,66430,120,9112669,./motifs/93.motifcount
125,7750,0,7750,0,317750,0,0,0,0,317750,0,0,0,0,0,9691375,./motifs/94.motifcount
145,7481,6,1177,15318,293623,1,1,38,19,11934,3604,811720,5560,99253,682,8448439,./motifs/95.motifcount
121,7260,0,7260,0,287980,0,0,0,0,287980,0,0,0,0,0,8495410,./motifs/96.motifcount
119,7021,0,7021,0,273819,0,0,0,0,273819,0,0,0,0,0,7940751,./motifs/97.motifcount
120,6901,0,2459,9122,262238,0,0,0,3,52491,3208,401591,1467,121343,0,7360648,./motifs/98.motifcount
148,6873,13,631,16015,257160,0,6,33,61,3341,2053,849885,7988,58745,1463,7017176,./motifs/99.motifcount
116,6670,0,523,12294,247313,0,0,0,0,2520,2161,642885,3986,47740,0,6714413,./motifs/100.motifcount
114,6441,0,6441,0,240464,0,0,0,0,240464,0,0,0,0,0,6672876,./motifs/101.motifcount
185,6370,0,866,19173,226866,0,0,0,238,3064,2512,963020,13166,81824,0,5849516,./motifs/102.motifcount
123,6432,0,609,12681,233615,0,0,0,10,3556,2185,645443,4689,53130,0,6204327,./motifs/103.motifcount
